,sentences,target
185,"From: C.H.A.Wong@bradford.ac.uk (CHA WONG)
Subject: How can you see the launch of the Space Shuttle ?
Organization: University of Bradford, UK
Lines: 28
X-Newsreader: TIN [version 1.1 PL9]


Sorry for asking a question that's not entirely based on the
technical aspects of space, but I couldn't find the
answer on the FAQs !

I'm currently in the UK, which makes seeing a Space Shuttle
launch a little difficult.....

However, I have been selected to be an exchange student
at Louisiana State Uni. from August, and I am absolutely
determined to get to see a Space Shuttle launch sometime
during the year at which I will be in America.

I hear there's a bit of a long mailing list, so if someone
can tell me how to get tickets and where to get them from, then
please E-mail me !

Thanks very much for your patience....

(And if anyone else wants to know, tell me and I'll summarize
for you - just to save all those poor people who have to
pay for their links !)
-- 
===============================    April is the cruellest month
Andrew Wong                    \   Mixing memory and desire
-----x-----                     \
E-mail:C.H.A.Wong@bradford.ac.uk \ T.S.Eliot - The Wasteland 1918
",1
186,"From: slegge@kean.ucs.mun.ca
Subject: Trade rumor: Montreal/Ottawa/Phillie
Lines: 20
Organization: Memorial University. St.John's Nfld, Canada

TSN Sportsdesk just reported that the OTTAWA SUN has reported that
Montreal will send 4 players + $15 million including Vin Damphousse 
and Brian Bellows to Phillidelphia, Phillie will send Eric Lindros
to Ottawa, and Ottawa will give it's first round pick to Montreal.
 
If this is true, it will most likely depend on whether or not Ottawa
gets to choose 1st overall.  Can Ottawa afford Lindros' salary?
 
Personally, I can't see Philli giving up Lindros -- for anything.  
They didn't give away that much to Quebec just to trade him away 
again.  Not to mention that Lindros seems to be a *huge* draw in
Phillie -- and that he represents a successful future for the 
franchise.
 
Ottawa may be better off taking the 4 players +$15 from Montreal
for the pick.
 
Stephen Legge
SLEGGE@kean.ucs.munc.ca

",0
187,"From: loss@fs7.ECE.CMU.EDU (Doug Loss)
Subject: Re: Vandalizing the sky.
Organization: Electrical and Computer Engineering, Carnegie Mellon
Distribution: na
Lines: 33

In article <1993Apr27.174622.1@stsci.edu> hathaway@stsci.edu writes:
>In article <C65LJ5.5Az@fs7.ece.cmu.edu>, loss@fs7.ECE.CMU.EDU (Doug Loss) writes:
>>    I didn't want to quote all the stuff that's been said recently, I
>> just wanted to add a point.
>> 
>.. 
>> then enforces those rights for them.  Here in the U.S., the constitution
>> provides a ""Bill of Rights"" from which most if not all legal rights are
>> considered to derive.  I'm sure that most other countries have
>
>These seem hardly like the groups to discuss this in, but HUH??? 
>All legitimate power to enforce these rights derives from the consent 
>of the governed, not from no steenkin' piece of paper.
>
   We don't disagree on this.  All I said was that a right is whatever
you or somebody acting for you can enforce.  The Bill of Rights didn't
come into effect until it was ratified by the states (and indirectly,
the people); from that point it defined legal rights.  ""Common law""
rights are vague and situational; that's why the people insisted on a
Bill of Rights in the Constitution, spelling out exactly what they
demanded from the government.  Legitimate or illegitimate, power is
power.  That's why the federal government can force states to grant
their citizens rights they don't wish to: In a slugging match, the feds
win.  Period.

   And you're right, this doesn't belong in sci.space.  I've said my
peace.  No more frome me on rights (at least not here).

>Most gracious regards, 
>WHH 

Doug Loss
loss@husky.bloomu.edu
",1
188,"From: pavalin@bnr.ca (Paul Valin)
Subject: Re: Montreal versue Quebec
Nntp-Posting-Host: bcarm4b8
Organization: Bell-Northern Research Ltd.
Lines: 25

In article <1r8p64$kj6@msuinfo.cl.msu.edu>, vergolin@euler.lbs.msu.edu
(David Vergolini) wrote:
> 
>Did anyone see the Montreal - Quebec game yesterday?  It was tight right down
>to the last second of the third period.  In the overtime Roy and Hextall played
>like they were gods.
>Ok, so Montreal won!  They deserved it after getting their first goal in
>overtime waved off because the puck was hit in with a high stick.  Their second
>goal in overtime was also replayed, but I could not tell if it was the Montreal
>player who kicked it in.  The puck definitely was not directed in by a stick.
>Anyways, Montreal is back into the series.
> 

The overhead replay pretty clearly showed that it was the Quebec 
defender who deflected the puck.  The re-play officials did not 
take nearly as much time to make this call as they did for the first 
non-goal, so it seemed pretty non-controversial.

I agree that it was a great game; good to see Roy and Damphousse back
into form.  Hopefully the sign of good things to come...
--------------------------------------------------------------------
Paul Valin                                     Tel: + 1 613 763 7394
Bell-Northern Research Ltd.                    Email: pavalin@bnr.ca
P.O. Box 3511, Station C
Ottawa, Ontario, Canada K1Y 4H7               'only my opinions...'
",0
189,"From: jack.petrilli@rose.com (jack petrilli)
Subject: hawks lose (yawn)
X-Gated-By: Usenet <==> RoseMail Gateway (v1.70)
Organization: Rose Media Inc, Toronto, Ontario.
Lines: 16

On April 25,  maynard@ramsey.cs.laurentian.ca (Roger Maynard) wrote:

M --> 
M --> Look for the Leafs, led by a healthy Doug Gilmour and a confidence-restored
M --> Felix Potvin to do the Blues in 6.  The Leafs will have 3 more games with the
M --> Wings and that should give Joseph a few extra days to pass those horshoes.
M --> 

HA! Roger the dodger is back! (on the bandwagon, that is.)

- Jack

 * Please Tell Me if you Don't Get This Message
---
   RoseReader 2.10  P003814 Entered at [ROSE]
   RoseMail 2.10 : RoseNet<=>Usenet Gateway : Rose Media 416-733-2285
",0
190,"From: palmer@cco.caltech.edu (David M. Palmer)
Subject: Re: Gamma Ray Bursters. WHere are they.
Organization: California Institute of Technology, Pasadena
Lines: 53
NNTP-Posting-Host: alumni.caltech.edu

prb@access.digex.com (Pat) writes:

>  What  evidence  indicates that Gamma Ray bursters are very far away?

>Given the enormous  power,  i was just wondering,  what if they are
>quantum  black holes or something  like that  fairly close by?

>Why would they have to be at  galactic ranges?   

Gamma Ray Bursts (GRBs) are seen coming equally from all directions.
However, given the number of bright ones, there are too few faint
ones to be consistent with being equally dense for as far
as we can see--it is as if they are all contained within
a finite sphere (or a sphere with fuzzy edges) with us at the
center.  (These measurements are statistical, and you can
always hide a sufficiently small number of a different
type of GRB with a different origin in the data.  I am assuming
that there is only one population of GRBs).

The data indicates that we are less than 10% of the radius of the center
of the distribution.  The only things the Earth is at the exact center
of are the Solar system (at the scale of the Oort cloud of comets
way beyond Pluto) and the Universe.  Cosmological theories, placing
GRBs throughout the Universe, require supernova-type energies to
be released over a timescale of milliseconds.  Oort cloud models
tend to be silly, even by the standards of astrophysics.

If GRBs were Galactic (i.e. distributed through the Milky Way Galaxy)
you would expect them to be either concentrated in the plane of
the Galaxy (for a 'disk' population), or towards the Galactic center
(for a spherical 'halo' population).  We don't see this, so if they
are Galactic, they must be in a halo at least 250,000 light years in
radius, and we would probably start to see GRBs from the Andromeda
Galaxy (assuming that it has a similar halo.)  For comparison, the
Earth is 25,000 light-years from the center of the Galaxy.

>my own pet theory is that it's  Flying saucers  entering
>hyperspace :-)

The aren't concentrated in the known spacelanes, and we don't
see many coming from Zeta Reticuli and Tau Ceti.

>but the reason i am asking is that most everyone assumes  that they
>are  colliding nuetron stars  or  spinning black holes,  i just wondered
>if any mechanism could exist  and place them  closer in.

There are more than 130 GRB different models in the refereed literature.
Right now, the theorists have a sort of unofficial moratorium
on new models until new observational evidence comes in.

-- 
		David M. Palmer		palmer@alumni.caltech.edu
					palmer@tgrs.gsfc.nasa.gov
",1
191,"From: baalke@kelvin.jpl.nasa.gov (Ron Baalke)
Subject: Magellan Update - 04/16/93
Organization: Jet Propulsion Laboratory
Lines: 25
Distribution: world
NNTP-Posting-Host: kelvin.jpl.nasa.gov
Keywords: Magellan, JPL
News-Software: VAX/VMS VNEWS 1.41    

Forwarded from Doug Griffith, Magellan Project Manager

                        MAGELLAN STATUS REPORT
                            April 16, 1993

1.  The Magellan mission at Venus continues normally, gathering gravity
data which provides measurement of density variations in the upper
mantle which can be correlated to surface topography.  Spacecraft
performance is nominal.

2.  Magellan has completed 7225 orbits of Venus and is now 39 days from
the end of Cycle-4 and the start of the Transition Experiment.

3.  No significant activities are expected next week, as preparations
for aerobraking continue on schedule.

4.  On Monday morning, April 19, the moon will occult Venus and
interrupt the tracking of Magellan for about 68 minutes.
     ___    _____     ___
    /_ /|  /____/ \  /_ /|     Ron Baalke         | baalke@kelvin.jpl.nasa.gov
    | | | |  __ \ /| | | |     Jet Propulsion Lab |
 ___| | | | |__) |/  | | |__   M/S 525-3684 Telos | The aweto from New Zealand
/___| | | |  ___/    | |/__ /| Pasadena, CA 91109 | is part caterpillar and
|_____|/  |_|/       |_____|/                     | part vegetable.

",1
192,"From: gld@cunixb.cc.columbia.edu (Gary L Dare)
Subject: Re: Thumbs WAY WAY WAY DOWN to ESPN
Keywords: Baseball, goddamn Baseball
Nntp-Posting-Host: cunixb.cc.columbia.edu
Reply-To: gld@cunixb.cc.columbia.edu (Gary L Dare)
Organization: PhDs In The Hall
Lines: 36

cdash@moet.cs.colorado.edu (Charles Shub) writes:
>Tuesday, and the isles/caps game is going into overtime.
>what does ESPN do.....
>
>Tom Mees says,  ""we are obligated to bring you baseball""

We're probably stuck, as Mike Burger pointed out that the baseball
deal was made far in advance of the NHL contract.  WABC did the same
thing; they were thankful that the Devils were wiped out by 9:30,
because they had to switch over to Yankees baseball.  The proof of 
the reasons for this is left to the reader ...

It's too bad, but I wonder if ESPN is stuck with other US local team
coverage for their alternate games?  We got NESN's coverage of the
Bruins-Sabres with the Boston homers ... they were awful!!!  I've read
that Derek Sanderson is the colour analyst ... I wonder if he spent
his early years after hockey as an intern at PRAVDA before landing
this job?  *Everything* had to be twisted into something good to say
about the Bruin(s) involved ... not even Bill Wirtz's shills on SC
Chicago (Pat Foley, Dale Tallon) were this bad.  And just to be fair,
SC used to take their feed from ESN (Empire Sports Network), the Sabre
homers and they were horrible too ... but they were spacy.

From the CNN highlights, I hear Chris Cuthbert's voice from the CBC
coverage of the Habs-Nords series.  Too bad that we couldn't get it
on ESPN, with all due respect to the Sabres and the Bruins.

Mike Emrick is substituting on the Devils SCNY team for Gary Thorne.
Mike was the original Devils TV play-by-play announcer, by the way.

gld
--
~~~~~~~~~~~~~~~~~~~~~~~~ Je me souviens ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Gary L. Dare
> gld@columbia.EDU 			GO  Winnipeg Jets  GO!!!
> gld@cunixc.BITNET			Selanne + Domi ==> Stanley
",0
193,"Subject: Re: NHLPA poll (partial stats/results)
From: caldwell8102@mtroyal.ab.ca
Organization: Mount Royal College, Calgary, Alberta
Lines: 10

In article <ofnmaO_00iV1A6kYd2@andrew.cmu.edu> Young-Soo Che <yc25+@andrew.cmu.edu> writes:
>All these people who send in their polls should take a closer look at
>NJD, they are a very deep team, with two very capable goalies, and
>excellent forwards and defensemen.  Shooter in Richer, an all around do
>it all in Todd, chef Stasny-master of a thousand dishes, power play

Kevin Todd is an Oiler and has been one for months. How closely do you follow
the Devils, anyway? Jeez....

								Alan
",0
194,"From: prb@access.digex.com (Pat)
Subject: Re: Commercial mining activities on the moon
Organization: Express Access Online Communications USA
Lines: 10
NNTP-Posting-Host: access.digex.net

In article <1r46j3INN14j@mojo.eng.umd.edu> sysmgr@king.eng.umd.edu writes:
>In article <STEINLY.93Apr20160116@topaz.ucsc.edu>, steinly@topaz.ucsc.edu (Steinn Sigurdsson) writes:
|
|>Very cost effective if you use the right accounting method :-)
|
>Sherzer Methodology!!!!!!

Let it never be said that an opportunity was missed to put someone down.


",1
195,"Organization: Penn State University
From: Robbie Po <RAP115@psuvm.psu.edu>
Subject: Did The Blues Pull It Out?
Lines: 10

When I left, it was 4-3, Blues with 2:00 to go!  As I predicted in
""@#$%! I was right in the first place!!!""  Blues in 6!  YES!!!

Of course it's only one game -- that could be the 'Hawks stab in the face to
wake them up -- that's what playoffs are about, on any given day... :-)
-------------------------------------------------------------------------
** Robbie Po **          PGH PENGUINS!!!    ""We do what comes naturally!
Patrick Division Semi's  '91 STANLEY CUP    You see now, wait for the
PENGUINS 6, Devils 3     '92 CHAMPIONS      possibility, don't you see a
Penguins lead, 1-0       12 STRAIGHT WINS!  strong resemblance...""-DG '89
",0
196,"From: lsa@ll.mit.edu (lisa s anderson)
Subject: Re: Too Many Europeans in NHL
Reply-To: lsa@ll.mit.edu (lisa s anderson)
Organization: MIT Lincoln Laboratory
Lines: 24

In article <1993Apr6.142037.9246@alchemy.chem.utoronto.ca>, golchowy@alchemy.chem.utoronto.ca (Gerald Olchowy) writes:

|>
|>In article <1993Apr6.044323.22829@pasteur.Berkeley.EDU> daniell@cory.Berkeley.EDU (Daniel Lyddy) writes:
|>>
|>>You know, you're absolutely right.  I think we should round up all those
|>>players of European descent and ship 'em back to where they came from.  Let's
|>>see, with whom should we start?  I dunno, Lemieux?  Hmmm...sounds like he
|>>has *French* blood in him!!!  Hey!  France is part of Europe!  Send that
|>>Euro-blooded boy back!!!
|>>
|>
|>Don't you Americans study history...the French settled in North America
|>as early or before the British...Lemieux can probably trace back his
|>North American heritage back a lot further than most of us.
|>
|>Gerald
|>


Uh, Gerald, I think he was joking...


-lisa
",0
197,"From: yvon@ramsey.cs.laurentian.ca (Yvon Lavoie)
Subject: Hot, Cold Streaks ???
Organization: Dept. of Computer Science, Laurentian University, Sudbury, ON
Lines: 14


Ok guys, I need a list of the teams who have been hot or cold during the
last 25 games.  Doesn't need to be accurate, a rough guess will do.  I'm
about to enter a playoff pool and I want to know who is hot going into
the playoffs.  Don't need to mention Pittsburgh.  They can't get any hotter
than they are now.


P.S. I need this by Sunday

Yvon Lavoie



",0
198,"From: baalke@kelvin.jpl.nasa.gov (Ron Baalke)
Subject: Some Recent Observations by Hubble
Organization: Jet Propulsion Laboratory
Lines: 23
Distribution: world
NNTP-Posting-Host: kelvin.jpl.nasa.gov
Keywords: HST, Pluto, Uranus
News-Software: VAX/VMS VNEWS 1.41    

Here are some recent observations taken by the Hubble Space Telescope:

     o The Faint Object Spectrograph (FOS) was used to make ultraviolet
       observations of both the planet Pluto, and its moon Charon. The
       peakups were successful. The observations were executed as
       scheduled, and no problems were reported.

     o Observations were made using the High Speed Photometer of the Planet
       Uranus during an occultation by a faint star in Capricornus. These
       observations will help in our understanding of the planet's
       atmospheric radiative and dynamical processes. This event occurred
       close to the last quarter moon, and special arrangements had to be
       made to modify the lunar limit tests to allow these observations.
       The observations are currently being reviewed, and all the
       observations looked okay.

     ___    _____     ___
    /_ /|  /____/ \  /_ /|     Ron Baalke         | baalke@kelvin.jpl.nasa.gov
    | | | |  __ \ /| | | |     Jet Propulsion Lab |
 ___| | | | |__) |/  | | |__   M/S 525-3684 Telos | Being cynical never helps 
/___| | | |  ___/    | |/__ /| Pasadena, CA 91109 | to correct the situation 
|_____|/  |_|/       |_____|/                     | and causes more aggravation
                                                  | instead.
",1
199,"From: dale@odie.cs.mun.ca (Dale Fraser)
Subject: Re: AHL News: St John's news, part XXXVIII
Organization: CS Dept., Memorial University of Newfoundland
Lines: 49

brifre1@ac.dal.ca writes:

>In article <1993Apr13.132906.1827@news.clarkson.edu>, farenebt@craft.camp.clarkson.edu (Droopy) writes:
>> Pete Raymond emailed me this piece of info. Not sure if Game 7 was
>> intentionally or unintentionally omitted (ie date not set).	
>> 
>> BRI
>> ================================================================
>> [begin quoted material]
>> 
>> Because of the Moncton win Friday night Halifax was eliminated thus St.
>> John's will make Halifax home. The first round of play-offs wil take place
>> on these dates.
>> 
>> 	April 14 - Halifax Metro Center (Leafs Home Game)
>>         April 17 - Halifax Metro Center
>>      
>> 	April 21 - Moncton
>> 	April 23 - Moncton
>> 
>> 	April 26 - Halifax Metro Center
>> 
>> 	April 30 - Moncton
>> 
>This is a Halifax (or at least this Halifax) resident's dream come true!!
>The leafs are my favorite NHL team (and no, I don't know why)!!!!!!!!!
>I'd say that this is even better than the Citadels making the playoffs (a
>Quebec farm team; who cares??).

>By the way, for any NFLD fans....I'm sure ASN will carry some of the games
>(they'd be stupid not to....but then this is ASN)
I haven't heard any news about ASN carrying any games but the local
cable station here in St. John's (Cable 9) is carrying the games live!

Hey, it's better than nothing!

GO LEAFS GO!!!

Dale

|-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-|
|   ""Why sex is so popular    |    Dale Fraser  dale@odie.cs.mun.ca   |
|       Is easy to see:       | Memorial University of Newfoundland   |
|    It contains no sodium    |     CS Undergrad  -  Class of '92     |
| And it's cholesterol free!"" |-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-| 
|       Shelby Friedman       | BLUE JAYS 1992 WORLD SERIES CHAMPS!!  |
|-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-|
| *OPINIONS EXPRESSED ABOVE DO NOT BELONG TO ME OR THIS INSTITUTION!* |
|-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-|
",0
200,"From: nsmca@aurora.alaska.edu
Subject: Moon Colony Prize Race! $6 billion total?
Lines: 26
Nntp-Posting-Host: acad3.alaska.edu
Organization: University of Alaska Fairbanks

I think if there is to be a prize and such.. There should be ""classes""
such as the following:

Large Corp.
Small Corp/Company (based on reported earnings?)
Large Government (GNP and such)
Small Governemtn (or political clout or GNP?)
Large Organization (Planetary Society? and such?)
Small Organization (Alot of small orgs..)

The organization things would probably have to be non-profit or liek ??

Of course this means the prize might go up. Larger get more or ??
Basically make the prize (total purse) $6 billion, divided amngst the class
winners..
More fair?

There would have to be a seperate organization set up to monitor the events,
umpire and such and watch for safety violations (or maybe not, if peopel want
to risk thier own lives let them do it?).

Any other ideas??
==
Michael Adams, nsmca@acad3.alaska.edu -- I'm not high, just jacked


",1
